TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.968657,0,0
2,3.788866,0,0
3,4.318602,0,0
4,4.364239,0,0
5,4.323086,0,0
6,4.221158,0,0
7,4.167615,0,0
8,4.203536,0,0
9,4.053987,0,0
10,4.082201,0,0
11,3.456503,1,0.28
12,3.288231,2,0.7099997
13,2.627836,5,1.086666
14,2.791294,4,2.529998
15,2.579933,5,2.553332
16,2.673445,6,3.308331
17,2.628232,8,3.908886
18,2.733519,9,4.825711
19,2.638368,11,5.559258
20,2.491649,11,6.599266
21,2.540591,12,7.456683
22,2.215617,14,7.125783
23,2.125636,15,7.986149
24,1.905264,16,6.909476
25,2.412501,14,7.769194
26,2.317183,14,8.769207
27,2.276493,15,8.35088
28,2.132396,15,9.350891
29,2.095241,16,9.461733
30,2.053678,16,10.46175
31,2.165965,16,11.48176
32,2.153034,16,12.48178
33,2.035723,16,13.4818
34,2.001241,17,13.44431
35,1.962862,17,14.44433
36,2.482155,13,10.0543
37,2.460575,14,10.85931
38,2.407152,15,11.54765
39,2.303277,15,12.56766
40,2.283771,15,13.56767
41,1.978178,16,14.58768
42,1.973495,17,10.33957
43,1.967155,17,11.33958
44,2.023631,17,12.35959
45,2.059213,17,13.3996
46,2.058526,17,14.39961
47,2.390038,10,26.83289
48,2.84689,7,5.65868
49,2.640254,9,5.045352
50,2.579811,8,7.855364
51,2.403224,11,6.240925
52,2.304803,13,6.306149
53,2.175798,14,6.809167
54,2.203647,14,7.80584
55,2.214437,14,8.825849
56,2.243895,14,9.825856
57,2.227108,15,10.06697
58,2.592699,10,8.218534
59,2.666386,10,8.584212
60,2.533986,11,9.609226
61,2.510601,12,8.90235
62,2.47021,13,9.104357
63,2.493849,13,10.09437
64,2.607157,12,11.09272
65,2.422253,14,11.2901
66,2.306379,17,8.429919
67,2.054996,18,8.969329
68,1.982707,20,9.375724
69,2.405219,13,7.515892
70,2.322711,14,7.900558
71,2.112716,17,6.695832
72,1.961272,19,5.888817
73,1.934733,20,7.408932
74,1.606548,23,7.227825
75,1.51739,24,7.658048
76,1.542861,25,8.337516
77,1.378678,27,6.973589
78,1.432933,27,7.967969
79,1.371958,27,8.268003
80,1.898786,16,6.483355
81,2.094709,16,16.92408
82,2.03274,17,8.016149
83,6.12383,18,8.937117
84,2.091762,19,9.58291
85,1.951059,20,10.36962
86,1.982289,20,11.36964
87,1.93666,20,12.40966
88,1.816473,21,11.51633
89,1.663417,21,12.53635
90,1.652122,20,29.51156
91,5.968175,21,13.48304
92,1.723693,19,11.56695
93,1.673595,19,12.60697
94,1.569966,20,12.85148
95,1.323954,21,13.29282
96,1.460648,21,14.29284
97,1.28124,22,14.70808
98,1.323339,22,15.7481
99,1.133363,23,11.27874
100,1.201535,24,11.89304
101,1.308397,19,15.07019
102,1.82216,12,27.14536
103,2.126732,10,74.1477
104,2.277718,10,8.764499
105,2.10695,14,17.81504
106,2.001088,13,10.07742
107,2.241137,13,9.155976
108,1.956673,15,7.188437
109,2.180979,20,7.155615
110,2.080274,23,5.754715
111,2.238289,20,8.288363
112,2.443244,14,17.47784
113,2.364776,16,12.82007
114,2.528876,17,5.319054
115,2.529639,16,6.359056
116,2.453249,17,7.027511
117,2.415638,17,8.032517
118,2.412008,19,8.7542
119,2.37462,19,9.49955
120,2.203562,20,8.009675
121,2.109434,21,8.917189
122,1.985859,22,9.691837
123,2.498816,15,9.238256
124,2.261667,20,17.52011
125,2.313212,19,10.47398
126,2.114857,20,11.14327
127,2.10675,21,11.8479
128,2.194375,21,12.88791
129,2.049588,23,9.501357
130,10.16939,24,10.19835
131,1.806676,25,10.6032
132,1.670419,27,8.565153
133,1.530523,28,9.316588
134,1.726033,24,10.96475
135,5.210127,24,11.64033
136,1.613981,25,12.32956
137,1.517318,26,12.55719
138,1.338017,26,13.29604
139,1.289009,28,14.25486
140,1.207546,29,14.5516
141,1.154472,30,15.54257
142,0.9623922,34,15.29553
143,0.8850342,35,12.25551
144,0.8727265,35,13.30922
145,1.453457,24,52.27508
146,1.94506,22,9.179119
147,1.808019,24,32.01721
148,1.891196,23,10.84556
149,1.814952,24,15.71354
150,1.839105,25,12.10366
151,1.691967,27,12.51458
152,1.679178,27,13.5146
153,1.843061,28,11.20597
154,1.823256,28,12.24598
155,1.881944,28,13.246
156,2.391151,13,10.631
157,2.269614,19,14.45056

