TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.307392,0,0
2,2.416844,0,0
3,2.680166,0,0
4,2.961329,0,0
5,2.947837,0,0
6,2.637014,0,0
7,3.096066,0,0
8,3.072886,0,0
9,2.878563,0,0
10,3.147588,0,0
11,3.234149,0,0
12,3.328281,0,0
13,3.109176,1,0.6
14,3.222051,1,1.619999
15,3.063484,1,2.619998
16,3.019731,3,1.833332
17,2.919611,5,1.879999
18,2.707288,7,2.26111
19,2.556456,10,2.586109
20,2.383572,14,2.857855
21,2.235032,15,3.803609
22,1.859394,24,2.391458
23,1.544586,28,3.102125
24,1.334146,32,3.703012
25,1.189588,36,4.343503
26,1.460258,31,4.111182
27,1.260367,32,11.0804
28,1.02525,37,5.598371
29,1.240648,33,6.905056
30,1.186897,33,7.925064
31,1.215206,33,8.925076
32,1.187083,33,9.925088
33,1.178115,33,10.94511
34,1.159364,33,11.96513
35,1.137127,33,12.96515
36,1.37975,29,16.42464
37,1.900432,22,14.08832
38,1.875338,22,15.08834
39,1.907858,23,15.57374
40,1.865867,23,16.63293
41,1.804491,24,17.09909
42,1.869792,24,18.13758
43,1.84725,23,19.79632
44,1.703023,24,13.99201
45,1.647532,26,14.51509
46,1.68818,26,15.55511
47,2.010798,21,23.84897
48,2.298725,17,84.98365
49,2.194306,16,12.85229
50,2.164676,17,12.98872
51,2.106424,18,13.29215
52,1.968446,19,13.66765
53,1.893138,19,14.7383
54,1.823243,19,15.88477
55,1.784158,22,14.47289
56,1.793226,22,15.68603
57,1.734588,22,16.78354
58,1.986402,16,21.15174
59,2.255431,8,54.40808
60,2.236263,9,54.88469
61,2.174192,12,12.67927
62,2.204802,10,20.94595
63,2.196293,10,6.456702
64,2.160692,15,6.132466
65,2.162505,16,6.7336
66,2.241244,14,7.676818
67,2.0591,19,7.16441
68,1.923479,21,7.826886
69,2.123039,14,6.622082
70,2.224157,15,11.32161
71,2.296495,14,8.662103
72,2.205394,14,9.848781
73,7.669395,15,8.492105
74,2.122539,17,8.800173
75,2.15358,18,9.559167
76,2.121135,18,10.54585
77,2.033923,18,11.5592
78,1.990776,20,11.68144

