TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.714175,0,0
2,3.428852,0,0
3,3.520611,0,0
4,3.12497,0,0
5,3.116893,0,0
6,2.93633,0,0
7,3.045464,0,0
8,3.001913,0,0
9,3.030337,0,0
10,2.91045,0,0
11,3.008136,0,0
12,2.800823,2,0.7299998
13,2.767272,2,1.729999
14,2.662048,3,1.714999
15,2.736499,3,2.734998
16,2.66029,5,2.379998
17,2.576842,7,2.559998
18,2.483618,7,3.559998
19,2.33786,9,4.074997
20,2.247438,12,4.412856
21,1.955229,13,4.948413
22,1.783784,19,3.899529
23,1.799587,19,5.001151
24,1.710229,21,5.42029
25,1.795282,19,7.099187
26,1.616636,21,4.461861
27,1.666164,23,4.862559
28,1.527568,26,5.80746
29,1.335771,28,4.667304
30,1.172163,30,6.87908
31,0.9379327,38,5.155172
32,0.9168059,37,7.457173
33,0.8399999,38,6.614745
34,0.8305159,38,7.63312
35,0.8369378,38,8.631527
36,1.165581,32,11.20317
37,1.301873,31,15.61916
38,1.471591,28,9.943368
39,1.491651,28,10.9612
40,1.469288,28,11.999
41,1.424031,28,13.01683
42,1.385535,28,14.05463
43,1.451598,28,15.07247
44,1.396963,28,16.09031
45,1.31173,29,16.28208
46,1.251221,29,17.29992
47,1.578228,20,29.15915
48,1.810004,17,16.73077
49,1.714889,18,45.20555
50,1.734513,20,27.18519
51,1.632395,19,13.41326
52,1.620853,19,11.14495
53,1.570688,20,11.78497
54,1.5717,19,16.4333
55,1.555911,19,17.51665
56,1.553921,20,17.29498
57,1.50839,20,18.315
58,1.865619,11,37.6819
59,2.194606,7,13.07846
60,2.325345,10,54.79974
61,2.321876,7,71.30668
62,2.272405,10,31.44601
63,2.340633,8,13.63351
64,2.267768,9,11.52235
65,2.381395,10,11.48123
66,2.154356,15,9.704959
67,2.252856,15,9.88067
68,2.189952,17,10.50012
69,2.359899,11,44.18169
70,2.397163,10,23.50799
71,2.377359,11,7.941705
72,2.339666,11,5.994473
73,2.347623,11,7.014483
74,2.382147,11,8.034493
75,2.181643,11,9.054503
76,1.916371,11,10.07452
77,1.749648,12,9.521404
78,1.881957,16,8.823516

