TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.778576,0,0
2,3.481544,0,0
3,3.854989,0,0
4,3.665756,0,0
5,3.536887,0,0
6,3.289841,0,0
7,3.345619,0,0
8,3.366021,0,0
9,3.413611,0,0
10,3.25296,0,0
11,3.359215,0,0
12,3.39557,0,0
13,3.104353,3,0.26
14,2.840944,6,0.9166663
15,2.944445,4,2.159999
16,2.952863,4,3.159998
17,2.696984,8,2.10111
18,2.617105,9,3.013331
19,2.484861,11,3.432886
20,2.432794,12,4.277774
21,2.279797,16,4.050554
22,2.102004,16,5.432781
23,1.667607,26,3.606821
24,1.401418,29,3.953338
25,1.431427,29,5.155548
26,2.064815,20,5.218344
27,1.934449,25,5.079408
28,1.766033,26,5.901572
29,1.549821,29,6.30141
30,1.439246,34,5.183352
31,1.305605,35,7.322104
32,1.218507,36,8.115043
33,1.207795,37,8.932147
34,1.178384,37,9.95216
35,1.210963,37,10.95217
36,1.643645,28,17.17567
37,1.819163,24,13.31595
38,1.781131,24,14.33597
39,1.735176,28,13.27028
40,1.724141,27,13.38585
41,1.649319,27,11.72586
42,1.776242,25,17.93189
43,1.712953,26,18.42976
44,1.658337,26,19.42979
45,1.648329,26,20.42981
46,1.603107,26,21.44983
47,1.718897,22,28.99329
48,2.090325,16,9.982989
49,1.86972,17,10.80467
50,1.85455,17,11.80468
51,1.862841,19,12.36402
52,1.904656,19,13.38403
53,1.811162,19,14.38404
54,1.710764,19,15.38405
55,1.674223,19,16.42006
56,1.598524,20,16.96141
57,1.501781,21,17.53238
58,1.846729,13,44.70443
59,2.013311,14,25.87355
60,2.321354,9,5.223769
61,2.294071,11,30.27625
62,12.38954,11,16.65602
63,2.485818,10,19.8227
64,2.486835,10,7.662531
65,2.55054,11,8.12381
66,2.487971,14,6.366992
67,2.317147,14,7.387001
68,2.430967,14,8.407011
69,2.703381,8,35.95148
70,2.846237,7,26.69804
71,2.771369,8,13.63176
72,2.672356,9,6.890019
73,2.79434,9,7.910028
74,2.59191,11,8.320043
75,2.715279,12,6.549205
76,2.66653,13,7.331159
77,2.599221,13,8.351169
78,2.494473,14,8.054498

