TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,3.134867,0,0
2,3.266861,0,0
3,3.694533,0,0
4,3.559791,0,0
5,3.681912,0,0
6,3.525613,0,0
7,3.65216,0,0
8,3.475385,0,0
9,3.442668,0,0
10,3.329097,0,0
11,3.321807,0,0
12,3.304842,0,0
13,2.952724,4,0.5549999
14,2.852545,6,0.7516664
15,2.793654,6,1.791666
16,2.736176,6,2.791665
17,2.667429,8,3.138331
18,2.530695,10,3.338331
19,2.57552,12,3.992997
20,2.417928,13,4.63133
21,2.178956,18,4.493998
22,1.939928,23,3.365915
23,1.536445,27,3.908671
24,1.30688,33,3.997545
25,1.257773,34,5.061345
26,1.541868,27,5.211499
27,1.438339,29,6.027985
28,1.32296,33,8.395887
29,1.325365,31,7.573996
30,1.285826,32,8.389762
31,1.200613,34,8.978939
32,1.165774,34,9.998952
33,1.059665,37,8.010501
34,0.9775459,38,8.802708
35,0.9856662,39,9.623711
36,1.300021,33,12.34164
37,1.837029,25,10.91398
38,1.7522,25,11.934
39,1.690564,28,14.12803
40,1.825944,25,13.97402
41,5.600442,26,13.56554
42,1.760964,25,16.03407
43,2.069657,25,17.07409
44,16.6131,26,17.66039
45,1.728867,26,18.6599
46,1.724044,26,19.67992
47,2.083966,18,33.76521
48,2.358612,14,17.99253
49,2.247857,14,19.07255
50,15.35267,15,15.86598
51,2.041302,17,13.9402
52,1.923868,18,14.99544
53,1.933372,18,16.05468
54,1.83966,18,17.11393
55,1.732273,18,18.17317
56,1.562283,21,12.60043
57,1.510632,21,13.64659
58,1.956199,11,64.811
59,2.650447,10,6.245028
60,2.404791,10,7.245035
61,2.457651,10,8.265041
62,2.391448,11,8.226715
63,2.148539,12,7.557815
64,2.100207,15,7.51838
65,1.932015,19,7.630611
66,1.862225,21,8.336547
67,1.852933,22,8.739514
68,1.772156,23,9.152225
69,2.239461,16,35.62967
70,2.319999,16,6.876357
71,2.281539,17,7.391696
72,2.242583,19,8.162986
73,2.077944,21,8.686384
74,2.070326,22,8.902345
75,1.967451,22,9.920358
76,1.93666,23,10.14358
77,1.974331,23,11.16359
78,1.867137,23,12.18361

