TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.509284,0,0
2,3.049764,0,0
3,3.304747,0,0
4,2.929045,0,0
5,2.969993,0,0
6,3.104328,0,0
7,3.06897,0,0
8,2.730048,0,0
9,3.139764,0,0
10,3.239085,0,0
11,3.128006,0,0
12,3.066682,0,0
13,2.97001,1,1.02
14,2.931524,2,1.449999
15,2.776338,3,1.729999
16,2.875873,4,2.726665
17,2.467349,7,2.531665
18,2.343499,10,3.408569
19,2.243286,12,3.456664
20,2.118422,16,3.498886
21,1.923391,18,4.235077
22,1.789581,20,4.500279
23,1.715371,22,5.253782
24,1.593756,24,5.850958
25,1.650919,24,6.923717
26,1.988692,17,4.870571
27,1.896306,19,5.688358
28,1.494612,27,5.772044
29,1.372365,32,5.817142
30,1.211019,33,6.73026
31,1.05721,35,7.393682
32,0.9943461,37,8.220052
33,0.9894539,39,6.836584
34,0.8935543,40,7.811142
35,0.8614393,40,8.811535
36,1.033622,37,10.50274
37,1.533492,27,10.87231
38,13.00682,28,21.66424
39,1.421685,31,11.86034
40,1.4645,28,13.62714
41,1.302438,30,12.22037
42,1.292744,30,14.30203
43,1.30438,29,16.3494
44,1.281893,29,17.36942
45,1.268805,29,18.38944
46,1.180675,30,18.32723
47,1.479388,24,28.89741
48,1.949783,18,15.62733
49,1.936877,19,44.4254
50,1.964369,18,17.64737
51,6.498571,22,14.0421
52,1.859047,19,13.59827
53,1.782618,19,14.61829
54,1.681407,19,15.6383
55,1.710471,19,16.63832
56,1.767361,19,17.67833
57,1.77537,19,18.69834
58,2.045275,11,32.53825
59,2.518214,7,12.23345
60,2.335062,11,32.4077
61,2.475882,11,25.93147
62,2.174176,16,14.31214
63,2.278012,15,12.84711
64,5.317549,14,10.02261
65,2.454348,13,11.08038
66,2.364539,15,8.796927
67,2.261937,15,9.246935
68,2.166964,20,8.758689
69,2.382913,11,5.00235
70,2.383879,11,6.027352
71,2.379418,12,6.406878
72,2.158891,14,4.478441
73,2.36456,13,6.29126
74,2.243178,14,6.929712
75,2.121965,14,7.949718
76,2.135273,15,8.574332
77,2.084827,15,9.60482
78,2.201077,15,10.61912

