TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.57334,0,0
2,3.258379,0,0
3,3.718046,0,0
4,3.521563,0,0
5,3.7161,0,0
6,3.619158,0,0
7,3.302738,0,0
8,3.390428,0,0
9,3.300918,0,0
10,3.413344,0,0
11,3.12491,0,0
12,3.233483,0,0
13,3.018037,4,0.5
14,2.906136,5,1.186666
15,2.756232,7,1.757777
16,2.676064,7,2.811109
17,2.649886,9,3.203331
18,2.635216,10,4.073997
19,2.625859,11,4.830663
20,2.577451,11,5.870662
21,2.366077,16,5.691189
22,2.367305,18,4.975958
23,2.204746,22,4.232925
24,2.065791,27,4.368344
25,2.184813,23,11.33212
26,2.22488,24,4.364643
27,2.214182,25,8.370148
28,2.005757,32,5.341685
29,1.901314,32,5.027161
30,1.830466,35,6.894038
31,1.666916,35,7.899227
32,1.596544,38,6.861474
33,1.395558,39,7.536868
34,1.383,39,8.537264
35,1.301234,40,9.404813
36,1.307946,39,11.6235
37,1.580041,32,10.00887
38,1.62907,32,11.02888
39,1.556587,34,11.31167
40,1.533847,32,13.0729
41,1.396132,35,10.56186
42,1.349108,36,11.32856
43,1.34212,35,15.16111
44,1.172272,38,12.12691
45,1.08727,40,12.86776
46,1.010821,40,13.88778
47,1.218055,32,33.16322
48,1.414169,31,10.55768
49,1.437475,32,40.26875
50,1.544626,31,12.59771
51,1.423586,31,13.66572
52,4.882665,32,11.3243
53,1.309043,37,11.64632
54,1.496141,32,16.34178
55,1.294933,37,13.39035
56,1.250722,37,14.39036
57,1.23993,37,15.41038
58,1.530686,26,28.5389
59,1.73587,22,12.75699
60,1.835865,23,13.29931
61,1.910425,24,13.65237
62,1.79165,31,15.04015
63,1.89781,34,12.68637
64,2.178993,27,14.38511
65,3.25443,29,13.38846
66,1.743834,36,13.92914
67,1.617688,41,14.72782
68,1.752787,35,22.33919
69,1.932973,29,13.17199
70,1.890711,30,46.6345
71,1.861859,30,14.26445
72,1.890503,30,15.32447
73,1.740156,30,16.32671
74,1.690831,33,15.09031
75,1.671318,34,15.57573
76,1.401581,38,12.13229
77,1.301802,38,13.13268

