TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.620111,0,0
2,2.918288,0,0
3,3.418783,0,0
4,3.300953,0,0
5,3.224939,0,0
6,3.1218,0,0
7,2.916526,0,0
8,3.088206,0,0
9,2.932882,0,0
10,2.876706,0,0
11,2.928781,0,0
12,2.882724,0,0
13,2.840545,1,0.8399997
14,2.751248,1,1.879999
15,2.677078,3,1.413332
16,2.565171,4,1.936666
17,2.704262,5,2.573332
18,2.43585,5,3.846664
19,2.38852,8,2.923331
20,2.288557,9,3.804998
21,2.400071,9,4.824999
22,2.529742,10,4.598752
23,2.321721,16,4.611882
24,2.192864,22,4.532633
25,2.130806,25,5.414416
26,2.21683,21,5.434458
27,2.008217,26,5.034061
28,1.936869,27,6.284899
29,1.718019,29,5.883749
30,1.79706,27,7.472985
31,1.682209,33,6.334259
32,1.572247,34,6.949481
33,2.948273,31,9.698696
34,1.536682,33,10.19782
35,1.30767,38,8.048924
36,1.346422,36,8.465343
37,1.231768,34,8.76094
38,1.340697,37,10.13021
39,1.263939,39,8.638502
40,1.194973,36,11.58554
41,1.140849,37,10.06417
42,1.182471,36,13.66557
43,1.147194,38,11.27919
44,2.390378,39,12.1992
45,1.224059,39,13.2135
46,1.304272,35,15.82011
47,1.43563,29,25.00974
48,2.410424,26,54.05514
49,1.685786,28,35.77186
50,1.524713,32,14.74459
51,1.570658,31,13.24907
52,1.515364,29,13.79657
53,1.629375,29,14.5884
54,1.548102,32,13.52525
55,1.579416,29,18.44258
56,1.477158,29,16.86399
57,1.554973,24,23.3624
58,2.595249,22,31.84831
59,1.901448,20,11.43728
60,1.962215,22,34.88177
61,2.043782,24,15.68369
62,2.177233,24,16.14837
63,2.09824,23,14.26318
64,1.892934,32,11.16866
65,1.692136,37,11.76183
66,1.641465,37,12.85934
67,1.870551,27,25.78991
68,1.852275,24,12.4859
69,1.814287,28,14.02844
70,1.786073,27,13.19445
71,1.748463,27,14.30446
72,1.637692,27,15.4817
73,1.551443,30,12.63467
74,1.353952,30,13.68836
75,1.103251,31,14.19503

