TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,1.746142,0,0
2,1.758826,0,0
3,1.721968,0,0
4,2.908262,0,0
5,2.836299,0,0
6,2.82226,0,0
7,2.967766,0,0
8,2.810249,0,0
9,2.893437,0,0
10,2.914087,0,0
11,2.941738,0,0
12,3.042759,0,0
13,2.929123,1,0.6399999
14,2.889312,2,1.049999
15,2.865218,0,0
16,3.087735,0,0
17,3.128367,0,0
18,3.313471,0,0
19,3.272158,0,0
20,2.979647,1,0.4400001
21,2.861901,2,1.07
22,2.153837,5,1.379999
23,2.538707,3,2.244998
24,2.545393,3,3.324997
25,2.522611,7,2.504998
26,2.379759,10,3.199998
27,2.260792,11,3.039998
28,2.247294,11,4.059997
29,2.4677,9,3.674999
30,2.529999,10,3.98
31,2.570914,10,5
32,2.505111,11,5.361668
33,2.475081,12,5.917506
34,2.837243,8,9.790034
35,2.710224,9,5.455029
36,2.713454,9,6.49504
37,2.644787,9,7.495051
38,2.504707,10,5.796708
39,2.395076,11,6.196716
40,2.367836,12,6.887835
41,2.289727,12,7.907842
42,2.636667,5,3.974997
43,2.458775,8,2.938887
44,2.334151,9,3.005555
45,2.323688,9,4.048889
46,2.276005,10,4.54778
47,2.260171,10,5.567784
48,2.149922,13,5.104455
49,2.557254,7,18.37116
50,2.210104,8,8.39779
51,2.302787,9,7.10001
52,2.295289,10,5.723354
53,2.188614,10,6.730029
54,10.64329,12,5.196692
55,2.037166,13,6.034197
56,2.476888,9,4.496255
57,2.450146,10,3.730839
58,2.533298,10,4.770842
59,2.608754,10,5.790844
60,2.643744,10,6.810848
61,2.471879,12,6.94641
62,2.303751,13,7.789202
63,2.169985,16,8.103009
64,2.413687,11,14.64645
65,2.694445,8,8.0629
66,2.648151,8,9.111485
67,2.447099,12,6.623008
68,2.372708,12,7.663017
69,2.414803,12,8.683024
70,2.341912,14,7.245054
71,2.075264,16,4.380007
72,2.178446,17,5.209455
73,2.027383,19,5.362793
74,2.200748,18,6.647357
75,2.679867,8,4.970001
76,2.473751,8,6.015007
77,2.565941,10,12.25836
78,2.543081,12,4.424677
79,2.530348,12,5.630015
80,2.482911,12,6.155354
81,2.296918,16,4.58316
82,2.077501,18,5.107064
83,1.942239,18,6.161445
84,2.221054,14,5.549336
85,2.169621,15,5.714893
86,1.912153,16,6.176899
87,1.809193,18,6.628906
88,1.624821,19,7.443581
89,1.68003,20,8.268355
90,1.535441,21,7.276278
91,1.446085,24,7.577963
92,1.348126,25,8.245475
93,1.838509,14,37.74134
94,1.736617,17,16.29328
95,1.689691,20,15.12696
96,1.544596,21,12.44195
97,1.463775,22,12.27664

