TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.391539,0,0
2,2.595236,0,0
3,3.306867,0,0
4,3.176442,0,0
5,3.29642,0,0
6,3.561582,0,0
7,3.592955,0,0
8,3.496109,0,0
9,3.440755,0,0
10,3.421781,0,0
11,3.28358,0,0
12,3.243959,0,0
13,2.503194,3,0.7399998
14,2.516648,3,1.739999
15,2.663559,3,2.759998
16,2.580418,2,2.189999
17,2.674698,2,3.229998
18,2.625151,2,4.249997
19,2.840194,2,5.269996
20,2.550712,3,5.234996
21,2.454993,4,4.43667
22,2.257397,6,4.307508
23,2.343422,6,5.307513
24,2.664623,4,6.323359
25,2.236932,11,3.652397
26,2.233508,11,4.647639
27,2.041822,11,5.647642
28,2.560964,10,4.881246
29,2.507711,10,5.901251
30,2.20369,12,4.747506
31,2.23445,12,5.767511
32,2.215057,12,6.767517
33,2.246552,12,7.767527
34,2.226347,13,8.419669
35,2.425661,11,7.804473
36,2.34787,11,8.804482
37,2.3865,12,8.694493
38,2.279397,12,9.714506
39,2.340141,12,10.73453
40,2.169245,14,6.037271
41,2.158214,14,7.03728
42,2.072658,14,8.057289
43,2.528818,8,24.18901
44,2.572311,7,5.560017
45,28.98306,7,6.580019
46,2.552266,8,6.533358
47,2.494216,8,7.573362
48,2.518963,9,8.108925
49,2.445611,10,7.642269
50,2.42503,11,7.923384
51,2.843775,5,7.023361
52,2.657572,8,10.0128
53,2.693963,7,6.926699
54,2.602813,7,8.039206
55,2.33094,13,4.656136
56,2.383114,13,5.274103
57,2.227228,13,6.100776
58,2.221649,13,7.100783
59,2.283893,11,5.109469
60,2.293777,11,6.109473
61,2.342407,11,7.149477
62,2.282846,11,8.189484
63,2.202772,11,9.210604
64,2.016233,12,9.594055
65,2.017245,13,10.04052
66,2.574923,2,8.750019
67,2.618437,2,9.780034
68,2.832852,4,5.540029
69,2.846328,6,3.32002
70,2.777137,8,3.128906
71,2.55765,9,3.618909
72,2.632473,10,4.638912
73,2.539006,12,4.280808
74,2.437389,13,5.005569
75,2.178722,16,5.076683
76,2.006653,18,4.994646
77,2.364709,12,15.96175
78,2.593746,10,5.582502
79,10.8662,10,6.580009
80,2.398899,10,7.60002
81,2.605195,11,7.89403
82,2.503533,12,8.206893
83,2.433497,13,6.897146
84,2.322147,14,7.363661
85,2.425886,14,12.28898
86,2.496855,12,5.592602
87,2.424267,14,11.52023
88,2.449117,15,6.556287
89,2.439524,15,7.596293
90,2.36839,15,8.654872
91,2.381081,16,9.358809
92,2.273091,18,9.753319
93,2.585089,12,3.460005
94,2.46295,14,3.952315
95,2.410547,15,4.45232
96,2.224593,16,5.075659
97,2.233201,17,5.786926
98,2.093402,20,5.844027

