TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.74669,0,0
2,3.719181,0,0
3,4.137384,0,0
4,4.164518,0,0
5,4.211308,0,0
6,3.878262,0,0
7,3.702246,0,0
8,3.724226,0,0
9,3.389115,0,0
10,3.630668,0,0
11,3.69207,0,0
12,3.543151,0,0
13,3.643743,1,0.58
14,3.462534,3,1.133333
15,3.22614,4,1.486666
16,3.116589,4,2.486665
17,2.809317,6,2.709998
18,2.751899,6,3.729997
19,3.215498,1,4.839996
20,2.857142,2,3.109998
21,2.915548,2,4.129997
22,2.881977,2,5.129996
23,2.86888,2,6.130005
24,2.752502,3,4.846678
25,2.89394,4,3.269998
26,2.688293,6,4.077997
27,2.724288,7,4.97833
28,2.457006,10,3.860834
29,2.218444,11,4.790841
30,2.401227,11,2.604165
31,2.539809,11,3.604164
32,2.430593,11,4.604164
33,2.433397,11,5.624166
34,2.791124,9,6.911258
35,2.890949,9,7.931267
36,2.850092,9,8.951279
37,2.489758,11,5.235645
38,2.181526,14,5.863989
39,2.389937,7,4.426679
40,2.15886,9,3.153339
41,2.23203,10,3.758338
42,2.183225,10,4.758339
43,2.162695,10,5.745007
44,2.107874,11,6.314672
45,2.077046,11,7.334676
46,2.13437,11,8.354687
47,2.692516,7,8.588363
48,2.60538,7,9.608383
49,2.683602,8,10.6384
50,2.672189,8,10.18008
51,2.352257,13,6.051955
52,2.447766,12,11.03926
53,2.548432,11,4.278024
54,2.530001,11,5.298026
55,2.531156,12,5.930027
56,2.593421,12,6.950029
57,2.548398,12,7.950031
58,2.424101,13,6.26669
59,2.930967,6,11.22005
60,2.777028,5,4.288895
61,2.706553,8,7.271679
62,2.755291,6,9.321688
63,2.726139,5,7.328917
64,2.606871,6,6.466693
65,2.500737,7,7.304198
66,2.418435,11,6.533373
67,2.54018,11,4.164667
68,2.216961,13,4.567228
69,2.115257,14,5.606123
70,1.977783,16,5.450396
71,2.412867,8,6.607022
72,2.42768,9,7.611031
73,2.381088,10,8.016042
74,2.305016,12,8.09605
75,2.197823,12,9.112918
76,2.094059,12,10.76841
77,2.525684,11,12.72635
78,2.657495,13,15.17767
79,2.709308,12,4.466383
80,2.668618,12,5.466386
81,2.652054,13,6.092525
82,2.410988,16,3.640013
83,2.404193,16,4.640016
84,2.387868,16,5.640018
85,11.06019,10,8.487535
86,2.793488,9,10.83921
87,2.770101,7,4.15778
88,2.65805,9,5.24667
89,2.591349,12,6.084603
90,2.534917,10,4.935563
91,2.402958,16,4.250563
92,2.253506,19,4.633899
93,2.064596,20,5.104012
94,2.111745,18,7.717522
95,2.039998,20,5.94002
96,1.906349,23,6.426026
97,1.801239,23,7.470319
98,1.778333,23,7.721464

