TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.805196,0,0
2,3.573514,0,0
3,3.831264,0,0
4,3.799863,0,0
5,3.782991,0,0
6,3.61602,0,0
7,3.43586,0,0
8,3.367345,0,0
9,3.591085,0,0
10,3.61938,0,0
11,3.595785,0,0
12,3.365879,1,0.34
13,3.315105,2,0.8199996
14,2.824879,3,1.359999
15,2.578026,4,1.909999
16,2.689087,2,2.419998
17,2.607908,3,2.359998
18,2.702956,3,3.359998
19,2.742579,3,4.379997
20,2.570271,5,4.157497
21,2.651093,5,3.203331
22,2.650179,5,4.203331
23,2.576075,6,4.877778
24,2.481291,7,5.653337
25,2.448659,10,6.161914
26,2.292444,10,7.181925
27,2.372714,11,7.17082
28,2.66032,9,5.682875
29,2.605916,10,6.346276
30,2.728006,12,6.736032
31,2.525945,13,5.410027
32,2.583749,11,6.423367
33,2.623082,11,5.625016
34,2.683219,11,6.625023
35,2.6774,11,7.625031
36,2.66477,11,8.645038
37,2.901941,7,10.48939
38,2.764588,4,2.129998
39,2.546366,5,2.773335
40,2.373921,8,6.155032
41,2.398663,7,3.950008
42,2.261909,9,5.920022
43,2.123774,10,5.430018
44,2.00736,10,6.460022
45,2.320174,10,5.898689
46,2.30333,10,6.910696
47,2.299622,10,7.930704
48,2.183663,10,8.930715
49,2.073221,11,9.179056
50,2.305558,9,6.046258
51,2.230395,10,6.546707
52,2.167532,12,6.837982
53,2.098048,12,7.836086
54,2.09202,12,8.856097
55,2.023049,13,9.377219
56,22.30384,10,14.62304
57,2.184592,8,7.393949
58,2.117298,8,8.393958
59,2.051425,8,9.393966
60,1.978946,9,9.683978
61,1.925087,11,9.818986
62,1.834028,12,10.47011
63,1.851178,12,11.47012
64,2.133854,9,7.041691
65,2.113665,10,5.481134
66,2.138802,10,6.501141
67,2.041187,10,7.530037
68,2.354661,6,4.690011
69,2.407769,7,4.965013
70,2.37966,9,4.786683
71,2.289136,9,5.793355
72,2.252214,11,5.92736
73,2.162307,12,6.280886
74,2.133901,12,5.734249
75,1.961209,15,5.572024
76,2.353142,7,4.783007
77,2.17673,9,13.03667
78,2.199674,10,5.195014
79,2.171207,10,6.21502
80,2.121428,11,6.543594
81,2.064419,12,5.092878
82,1.913586,15,4.271268
83,1.925261,15,5.291274
84,2.060746,13,7.017521
85,2.008403,13,4.926251
86,2.147975,12,5.037413
87,2.019807,16,5.402312
88,1.92512,16,6.442314
89,1.782808,18,5.547863
90,1.810326,18,5.044937
91,1.707865,19,5.831611
92,1.700959,19,6.851618
93,1.731603,19,7.87496
94,2.253472,7,31.59464
95,2.30043,8,6.095032
96,2.125727,11,4.706358
97,2.019849,13,11.76602
98,2.109741,12,6.068028

