TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.97055,0,0
2,3.393637,0,0
3,3.476165,0,0
4,3.432154,0,0
5,3.148667,0,0
6,3.270914,0,0
7,3.27978,0,0
8,3.313889,0,0
9,3.342875,0,0
10,3.148365,0,0
11,3.167758,1,1.04
12,3.017577,1,2.079999
13,3.039642,2,1.599999
14,2.944457,3,1.893332
15,2.775644,5,1.879999
16,2.927019,4,2.809998
17,2.679885,8,2.054999
18,2.631646,9,2.954998
19,2.570682,9,3.968333
20,2.536064,10,4.826667
21,2.377028,11,5.393667
22,2.317202,13,5.34367
23,2.011006,19,4.379006
24,2.004117,16,14.57792
25,1.908517,17,4.206948
26,1.619968,27,3.378463
27,1.436103,31,3.788362
28,1.301549,33,4.832062
29,1.133731,34,4.674048
30,1.074518,37,5.079359
31,1.003875,38,6.017696
32,0.953631,38,7.017702
33,1.483784,27,14.2749
34,1.721961,26,7.768869
35,1.697221,26,8.805851
36,1.63151,27,16.13439
37,1.712201,26,10.84588
38,1.722071,26,11.88589
39,1.746899,26,12.88592
40,1.678421,27,10.59945
41,1.605168,28,11.24956
42,1.644406,29,12.02458
43,2.354202,16,10.95869
44,2.226173,17,10.8198
45,2.248233,18,11.07514
46,2.164173,19,22.41651
47,2.160247,19,14.93642
48,14.24712,19,10.88138
49,2.034475,21,10.9939
50,2.025658,21,12.01391
51,4.768398,18,16.31754
52,2.419113,13,8.893746
53,2.420644,14,9.412755
54,2.310529,15,10.28193
55,2.134281,17,10.51877
56,2.058077,17,11.53378
57,2.05025,17,12.63296
58,1.97962,19,13.10647
59,2.216539,15,8.712542
60,2.080792,15,9.732554
61,2.054069,15,10.77257
62,1.922665,18,6.802383
63,1.910084,18,7.822394
64,1.922633,19,8.525095
65,1.678369,20,9.296935
66,1.734355,20,10.32504
67,2.068925,13,15.40458
68,2.084082,14,13.85791
69,12.91413,8,9.680086
70,2.448908,8,10.7001
71,2.472526,8,11.74011
72,2.559939,9,8.733418
73,2.553589,10,7.370071
74,2.606221,10,8.370078
75,2.580881,11,8.660915
76,2.739366,8,16.54602
77,2.68835,9,5.433797
78,2.58709,13,5.425017

