TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,1.139701,0,0
2,1.650198,0,0
3,2.430439,0,0
4,2.611185,0,0
5,2.801539,0,0
6,2.860177,0,0
7,2.784484,0,0
8,2.908027,0,0
9,2.902723,0,0
10,2.871736,0,0
11,3.047613,0,0
12,3.152454,0,0
13,3.118832,0,0
14,2.813298,3,0.6099998
15,2.836542,3,1.629999
16,2.812157,3,2.649998
17,2.810924,3,3.649997
18,2.743582,3,4.669996
19,2.423366,7,2.849164
20,2.356225,11,3.200414
21,1.921252,14,2.553146
22,1.870343,16,3.612728
23,1.728919,21,2.683922
24,1.608827,25,3.568185
25,1.440939,26,3.586216
26,1.692415,20,3.501062
27,1.586489,25,7.165169
28,1.399222,24,5.056584
29,1.476606,28,5.867517
30,1.393166,28,6.867526
31,1.508892,28,7.887534
32,1.392863,28,8.887544
33,1.245444,33,8.599997
34,1.176211,35,7.104173
35,1.05398,36,8.08335
36,1.250148,31,9.894824
37,1.459903,27,12.62171
38,1.466002,28,10.93255
39,1.609538,24,12.93563
40,1.585871,24,13.93564
41,1.536008,25,14.56672
42,1.492095,25,15.56674
43,1.463868,26,16.20244
44,1.558761,25,17.1977
45,1.49435,26,18.21629
46,1.395301,28,16.81563
47,1.709023,22,28.98576
48,2.223851,17,13.71416
49,1.930385,19,27.98396
50,1.876953,22,14.95637
51,2.053724,18,11.72585
52,2.104392,18,12.74586
53,2.248567,19,12.19919
54,1.956471,19,13.1992
55,1.908012,19,14.21921
56,1.906277,19,15.23923
57,1.786308,20,15.18923
58,2.102162,15,21.3751
59,2.086535,10,24.34144
60,2.554252,7,10.50843
61,2.414827,10,31.80932
62,2.594298,7,27.82925
63,2.31226,15,11.69996
64,2.713801,8,13.21014
65,2.533257,9,12.47214
66,2.389313,14,9.521434
67,2.278367,15,10.44255
68,2.136432,16,11.35098
69,2.350585,13,7.493057
70,2.33415,13,8.513062
71,2.515507,13,9.513069
72,2.400373,13,10.51308
73,2.280742,14,7.948728
74,2.234971,16,7.765616
75,2.070366,17,8.187107
76,2.074735,18,9.202674
77,1.981303,19,9.868535
78,1.839863,22,7.227021
79,1.800444,25,7.717966
80,2.349105,16,6.463367
81,2.240789,16,7.463374
82,2.145072,18,8.116711
83,1.83884,20,8.268264
84,1.895517,22,8.844949
85,1.722239,22,9.864174
86,1.58618,22,10.90419
87,1.513713,22,11.9646
88,1.281996,24,8.645519
89,1.169931,28,8.648138
90,1.09833,28,9.724814
91,1.178835,28,8.201917
92,1.119664,30,8.403811
93,1.206085,28,9.554034
94,1.229638,28,10.41031
95,1.3463,26,11.24476
96,1.517474,19,17.07622
97,1.309141,27,11.18854
98,1.291266,27,12.17719

