TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.165901,0,0
2,2.189991,0,0
3,2.864665,0,0
4,2.823499,0,0
5,2.838841,0,0
6,2.756752,0,0
7,2.755656,0,0
8,2.81301,0,0
9,2.916401,0,0
10,2.949823,0,0
11,2.811419,0,0
12,3.008258,0,0
13,3.173796,0,0
14,3.108107,0,0
15,3.208899,0,0
16,2.667832,3,0.255
17,2.743835,3,1.254999
18,2.849317,3,2.254999
19,2.632043,3,3.274998
20,2.562479,6,3.241998
21,2.195389,7,2.936998
22,1.913967,12,3.038998
23,1.695708,13,2.912664
24,1.580601,14,3.780908
25,1.86406,12,3.76
26,1.794388,14,2.945759
27,1.759274,14,3.915456
28,1.746795,14,4.90455
29,1.734726,14,5.893644
30,1.708826,14,6.863346
31,1.763049,15,6.97184
32,1.65184,15,7.960941
33,1.714046,15,8.950044
34,1.717611,15,9.919758
35,1.718535,15,10.90887
36,1.88918,13,13.64695
37,1.969716,13,14.62061
38,1.959053,13,15.57518
39,1.92737,13,16.54883
40,1.790277,13,17.52249
41,1.946491,13,18.49615
42,1.914914,13,19.45072
43,1.818165,15,11.75955
44,1.717851,16,12.72927
45,1.770203,16,10.54878
46,1.807872,16,11.52606
47,1.918096,10,20.01628
48,1.963772,10,5.313826
49,1.909721,13,4.847337
50,1.668192,14,11.99562
51,1.737256,15,5.985923
52,1.801384,14,7.554571
53,1.845725,14,8.574578
54,1.781932,15,9.184251
55,1.751192,15,10.18426
56,1.727396,17,9.986028
57,1.686965,18,10.34425
58,2.214885,12,47.42791
59,2.179284,11,9.581137
60,2.156969,12,9.468641
61,6.578497,13,9.903828
62,1.965839,13,10.92384
63,1.973232,13,11.94386
64,1.995503,13,12.94387
65,1.957062,13,13.96389
66,1.982734,13,14.96391
67,1.853519,13,15.98393
68,1.851214,14,15.60768
69,2.200708,9,15.34018
70,2.219143,9,16.35798
71,2.201504,10,9.038999
72,2.257171,10,10.03901
73,2.228023,11,10.48902
74,2.200179,11,12.37099
75,2.500712,5,29.22869
76,2.265945,10,7.083954
77,2.229025,9,7.366723
78,2.138843,11,5.442531
79,1.995146,16,3.957512
80,2.205705,10,4.511111
81,2.07954,11,4.573335
82,2.132193,11,6.33223
83,2.039727,13,6.547346
84,2.061816,13,7.567354
85,2.123152,13,8.587367
86,2.018124,14,8.763373
87,2.016459,14,9.783389
88,2.014706,14,10.80341
89,1.934889,14,11.80742
90,1.959537,15,12.27499
91,2.12963,11,9.024074
92,1.905374,15,11.398
93,1.792966,19,7.247286
94,1.714187,22,7.117891
95,1.611863,23,7.70921
96,1.557173,24,8.443213
97,1.600007,24,9.479585
98,1.612626,24,10.48444

