TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.280254,0,0
2,3.358613,0,0
3,3.415994,0,0
4,3.336452,0,0
5,3.386134,0,0
6,3.260981,0,0
7,3.255237,0,0
8,3.355826,0,0
9,3.381131,0,0
10,3.213481,0,0
11,2.206114,1,0.5000001
12,3.226923,0,0
13,3.455803,0,0
14,3.415599,0,0
15,3.381151,1,0.6199999
16,3.319406,2,1.159999
17,2.381564,3,1.189999
18,2.440088,4,1.763332
19,2.371103,5,2.389998
20,2.645535,1,3.259998
21,2.736081,1,4.279997
22,2.733737,1,5.279996
23,2.722289,1,6.299995
24,2.294561,2,3.709997
25,2.467554,2,4.750001
26,2.476347,5,5.072513
27,2.44698,6,6.030024
28,2.425925,7,6.860035
29,2.408308,7,7.860046
30,2.421155,7,8.880057
31,2.417387,7,9.880068
32,2.421766,7,10.94008
33,2.349514,7,11.96009
34,2.37047,7,12.96011
35,2.369963,7,13.96013
36,2.865755,6,10.44005
37,2.477008,7,6.180036
38,2.478926,7,7.180047
39,2.438517,7,8.200058
40,3.042501,1,3.939997
41,2.986342,1,4.979996
42,2.859681,3,6.480033
43,2.832359,3,2.589998
44,2.787215,3,3.609998
45,2.287359,4,3.286669
46,2.657031,6,1.782499
47,2.619456,6,2.822498
48,2.475998,6,3.857497
49,2.389408,7,4.563996
50,2.597441,7,5.564001
51,2.125561,9,4.222226
52,2.393289,7,3.553331
53,2.35073,7,4.593332
54,2.127475,7,5.653339
55,2.069109,8,5.603347
56,2.022417,8,6.603355
57,1.995371,8,7.623364
58,2.545257,2,5.319996
59,2.595622,2,6.340001
60,2.657192,4,8.500021
61,2.601922,4,9.520039
62,2.633849,4,10.52006
63,2.556763,5,9.550058
64,2.506688,6,9.480067
65,2.465267,7,8.590069
66,2.427552,9,5.688381
67,11.17035,5,5.805048
68,2.847596,5,6.845052
69,2.885312,6,6.640046
70,2.857161,6,7.66005
71,2.784194,6,8.660055
72,2.876745,5,13.26013
73,2.42448,7,6.02673
74,2.279733,8,6.164347
75,2.128746,9,4.942902
76,2.101018,9,5.962905
77,2.016453,9,7.008625
78,2.366592,5,11.86676
79,2.37974,5,2.166665
80,2.53881,6,3.049998
81,2.50635,6,4.049998
82,2.582487,6,5.070001
83,2.508353,7,4.607505
84,2.304845,9,4.985842
85,2.206964,9,6.005847
86,2.56945,8,5.238336
87,2.527886,9,5.876119
88,2.46572,9,6.896129
89,2.360699,9,7.91614
90,2.483006,9,8.971707
91,2.910739,6,8.942545
92,2.83343,6,9.942562
93,2.767529,7,10.26108
94,2.636728,7,11.30109
95,2.494188,8,9.686081
96,2.528461,8,10.70609
97,2.555135,8,11.72611
98,2.366365,9,8.579639
99,2.782427,6,6.746049
100,2.600416,7,7.401059
101,2.541157,8,8.461068
102,2.41352,9,7.815067
103,2.29952,9,8.855076
104,2.683968,4,3.794997
105,2.759186,4,4.834996
106,2.794508,4,5.854997
107,2.539155,6,2.761667
108,2.449868,6,3.76167
109,2.388875,7,4.568341
110,2.27946,8,5.094296
111,2.128464,9,4.209534
112,1.995377,10,4.919178
113,2.335,6,9.361154
114,2.487899,4,3.526665
115,2.36147,5,6.263334
116,2.512437,5,4.995003
117,2.250198,7,4.111673
118,1.901096,8,4.685009
119,2.447222,6,7.695013
120,2.619087,5,4.305015
121,2.652152,5,5.41502
122,2.547253,7,5.711693
123,2.510118,7,6.751702
124,2.59192,7,7.771713
125,2.879745,3,4.07333
126,2.732654,5,2.801665
127,2.580145,6,3.616664
128,2.561888,7,4.436664
129,2.358869,8,4.55
130,2.163315,10,3.543671
131,1.942397,12,4.317232
132,1.932878,12,5.514793
133,1.833437,13,6.251687
134,1.865626,13,7.282805
135,1.616448,14,6.30711
136,1.794906,12,10.6509
137,1.988654,10,6.291121
138,1.898832,10,7.291128
139,2.104583,10,8.33114
140,2.084334,10,9.351155
141,1.910219,13,7.307541
142,2.126711,11,10.51007
143,2.159807,11,11.53009
144,1.930344,12,9.45258
145,1.8446,14,9.85109
146,1.731958,16,9.004258
147,2.090628,10,35.08843
148,2.014415,12,13.25097
149,2.140381,10,8.744508
150,2.15616,10,9.744515
151,2.277068,10,10.76452
152,2.282514,10,11.76453
153,2.562927,6,38.18039
154,2.657248,5,10.01007
155,2.47909,7,6.760047
156,2.374635,8,6.548937
157,2.414687,8,7.568947
158,2.503779,8,8.588956
159,2.312835,9,7.261723
160,2.389624,10,7.527555
161,2.32574,11,8.011055
162,2.638875,7,6.874694
163,2.587813,7,7.894703
164,2.620139,7,8.914715
165,2.510475,7,9.934728
166,2.439094,9,9.722917
167,2.186645,11,8.175883
168,2.743032,4,7.300033
169,2.799136,4,8.340049
170,2.505002,8,4.745022
171,2.602458,6,5.52337
172,2.49274,8,5.355591
173,2.397914,10,4.813364
174,2.305013,12,5.005862
175,2.158704,12,6.024199
176,2.527829,8,5.788909
177,2.322582,10,5.154183
178,2.423038,9,7.375582
179,2.260444,12,6.433351
180,2.139319,14,6.380022
181,2.127095,15,6.992886
182,2.456091,10,14.8601
183,2.688802,8,8.85504
184,2.536565,9,9.00905
185,2.515377,10,9.365062
186,2.528125,10,10.40508
187,2.343213,12,7.766727
188,2.21354,13,8.326736
189,2.183764,14,9.144685
190,2.387913,10,6.796232
191,2.135678,12,5.063365
192,1.961873,15,4.891026
193,1.798085,16,5.622147
194,1.764968,18,6.161307
195,1.693233,18,7.161312
196,2.266889,11,10.99561

