TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,3.051258,0,0
2,2.358079,0,0
3,3.754095,0,0
4,3.709469,0,0
5,3.694009,0,0
6,3.726745,0,0
7,3.640578,0,0
8,3.75045,0,0
9,3.827763,0,0
10,3.848254,0,0
11,3.747743,0,0
12,3.660682,0,0
13,1.37439,2,0.3
14,1.959554,1,1.399999
15,2.216578,1,2.419998
16,1.633486,2,2.179999
17,1.723992,3,2.179998
18,1.619836,4,3.026664
19,1.660825,4,4.046664
20,1.570307,4,5.046663
21,2.455519,4,6.149999
22,2.280495,8,6.256673
23,2.27565,11,6.948904
24,2.16219,13,7.822454
25,2.504724,12,8.243684
26,2.477602,12,9.243696
27,2.466664,12,10.26371
28,2.437829,12,11.28372
29,2.417488,12,12.34374
30,2.417457,12,13.34376
31,1.886274,13,9.69585
32,1.7811,13,10.71587
33,1.625376,13,11.73588
34,1.306016,14,9.239178
35,1.306022,14,10.25919
36,2.504034,12,10.26371
37,2.510313,12,11.26372
38,2.143779,13,10.47374
39,2.143768,13,11.47375
40,2.186215,13,12.49377
41,2.413222,13,13.49378
42,2.458077,13,14.5138
43,2.477489,13,15.55382
44,2.477488,13,16.57384
45,2.45372,13,17.57385
46,2.406215,13,18.59387
47,2.90754,3,149.7323
48,3.084959,2,13.94013
49,3.108253,2,14.96015
50,3.122441,3,58.63086
51,2.695268,3,8.530099
52,2.733456,3,9.53011
53,1.999863,5,6.933414
54,1.645709,6,7.757866
55,1.323622,7,6.46673
56,1.083626,8,7.19729
57,1.112711,8,8.217296
58,1.9389,5,5.232496
59,1.856958,5,6.232495
60,2.008605,5,7.232498
61,2.017619,5,8.232508
62,2.071995,5,9.252527
63,1.971969,5,10.27255
64,2.034192,5,11.29257
65,2.04949,5,12.29259
66,2.01132,5,13.33261
67,1.985489,5,14.35264
68,2.014111,5,15.35266
69,2.981718,1,16.54019
70,2.620516,1,17.54021
71,3.03524,1,18.56023
72,2.861171,2,19.60026
73,2.971006,2,10.82014
74,2.889557,2,11.84015
75,2.420456,4,8.290109
76,2.457854,6,8.890117
77,2.338479,6,9.890123
78,2.335067,6,10.91013
79,2.358417,9,4.7942
80,2.883005,6,4.276664
81,2.77435,6,5.296665
82,2.768516,6,6.316666
83,2.445643,8,6.470007
84,2.257293,8,7.496687
85,2.081238,9,7.878699
86,1.921721,10,7.112032
87,1.795964,11,7.57115
88,1.762631,13,5.990033
89,1.697915,13,7.03004
90,1.985183,11,11.87341
91,1.84191,10,9.171168
92,2.022329,10,10.19118
93,1.892384,11,10.51627
94,1.26374,13,10.02485
95,1.060979,18,7.931283
96,0.8785347,19,8.949477
97,0.7634171,19,9.968276
98,0.6785284,19,10.98829
99,0.6049632,20,11.07129
100,0.933037,20,12.0913
101,1.538046,15,17.51873
102,2.032152,9,12.65961
103,2.067269,9,13.69963
104,2.100602,9,14.69965
105,2.130342,9,15.69967
106,2.133991,9,16.71969
107,2.075488,9,16.07436
108,1.976407,11,15.53886
109,1.955242,12,15.45687
110,1.939856,12,16.47688
111,1.941489,12,17.4769
112,2.282854,6,72.88105
113,2.265217,6,16.0202
114,16.92321,7,14.66304
115,2.285717,7,15.70305
116,1.994948,8,8.801535
117,2.108506,8,9.821545
118,1.63047,10,10.04822
119,1.865192,10,11.14156
120,1.52683,13,7.767716
121,1.326726,13,8.787722
122,1.237342,14,9.605506
123,1.884223,8,2.751109
124,1.892915,9,12.83842
125,1.996137,8,4.77111
126,2.03666,8,5.811113
127,2.048739,8,6.831116
128,2.026925,8,7.851124
129,2.012975,8,8.871137
130,2.071286,8,9.891152
131,1.714025,10,8.225878
132,1.660795,11,9.198396
133,1.564007,11,10.19841
134,1.713052,10,11.16455
135,1.699914,10,12.16457
136,1.662823,10,13.18458
137,1.466199,12,10.97289
138,1.485748,12,11.9929
139,1.436701,12,12.96958
140,1.434016,12,13.97627
141,1.364276,12,14.99628
142,1.257375,13,14.85946
143,1.223778,15,13.30516
144,1.139759,15,14.32517
145,1.799162,8,10.9701
146,1.704294,11,6.589396
147,1.673693,11,7.121399
148,1.651589,12,8.132074
149,1.653624,12,9.152083
150,1.593683,13,9.684467
151,1.589737,13,10.68828
152,1.855191,16,9.960096
153,1.727466,17,9.185081
154,1.521475,20,9.770085
155,1.660276,19,10.88584
156,1.998508,11,10.3012
157,2.298488,8,12.78539
158,2.516933,7,12.93337
159,2.451362,9,8.015582
160,2.506075,8,8.160022
161,2.583886,8,6.940033
162,2.262277,11,7.284934
163,2.159986,12,8.186726
164,2.118974,12,9.186738
165,1.990844,13,10.05942
166,1.979061,12,13.17345
167,1.973417,10,11.39637
168,1.901667,12,9.041196
169,1.85649,12,10.0612
170,1.871781,12,11.08121
171,1.854507,12,12.10123
172,1.812362,14,12.36316
173,1.758248,14,13.36317
174,10.55802,14,14.36318
175,1.659143,14,15.3832
176,1.438355,15,11.13548
177,1.6805,14,26.74368
178,1.884427,14,27.19164
179,1.906133,14,8.056981
180,1.744955,15,6.10466
181,1.680497,16,6.231333
182,1.63332,16,7.231339
183,1.654877,16,8.271344
184,1.638578,16,9.311355
185,1.505002,18,8.827931
186,1.357912,19,9.84294
187,1.306645,19,10.84295
188,1.63675,15,15.63034
189,2.418008,7,7.425022
190,2.491325,7,8.473371
191,2.19464,12,17.33265
192,2.049584,15,12.25714
193,1.812901,16,5.150259
194,2.097039,14,6.153671
195,2.002102,14,5.475258
196,1.983544,14,8.173683

