TIme,Kecepatan Rata-Rata,Total Stop,Rata-rata Waiting time
1,2.350033,0,0
2,3.30149,0,0
3,3.467957,0,0
4,3.482863,0,0
5,3.663149,0,0
6,3.387955,0,0
7,3.297527,0,0
8,3.220099,0,0
9,3.299732,0,0
10,3.242983,0,0
11,3.239913,0,0
12,3.065691,2,0.4
13,2.961698,4,1.12
14,2.868608,4,2.119999
15,2.94276,4,3.139998
16,2.981203,2,2.679998
17,2.651429,7,1.279999
18,2.536304,9,2.002221
19,2.415532,9,3.05722
20,2.539369,10,3.576664
21,2.548998,11,4.216189
22,2.240404,17,3.195333
23,2.087307,19,3.897334
24,2.124208,19,6.612148
25,2.167195,24,8.637997
26,1.943225,23,3.792504
27,1.897679,23,4.792506
28,1.819625,24,5.687054
29,1.700378,28,5.726866
30,1.556841,30,6.265986
31,1.474982,35,6.578135
32,1.402858,35,5.955426
33,1.392462,35,6.952254
34,1.408382,32,8.761776
35,2.032248,23,35.40077
36,2.118401,22,8.823806
37,2.1002,22,9.812907
38,1.964408,22,10.78261
39,1.837075,24,8.903791
40,1.756548,26,9.395455
41,1.687275,27,10.15806
42,1.767505,24,13.48963
43,2.217333,18,7.609375
44,2.08685,18,8.609385
45,1.85358,20,16.06799
46,11.2542,19,9.770505
47,2.006306,20,8.452887
48,1.842297,20,9.359564
49,1.675447,22,9.263735
50,1.804986,19,12.76867
51,2.419675,11,7.093366
52,2.270883,13,23.76774
53,2.252391,12,31.5853
54,2.381635,12,16.98513
55,2.550413,11,11.17341
56,2.570129,12,10.07007
57,2.570858,12,10.61508
58,2.557469,12,11.2201
59,2.370364,15,10.55974
60,7.400787,15,11.57976
61,2.547333,10,14.17613
62,2.723917,10,11.38679
63,2.699256,10,12.4068
64,2.722566,10,13.40681
65,2.649756,11,13.62586
66,2.513142,11,14.64588
67,2.512433,12,14.98851
68,2.489187,14,11.80569
69,2.42845,15,12.60071
70,2.831651,6,45.99225
71,2.918985,6,13.64016
72,2.864293,7,13.6685
73,2.585481,12,12.6572
74,2.412666,15,13.18683
75,2.285954,15,14.22017
76,2.366312,17,14.28087
77,2.417722,16,7.231057
78,2.414773,16,8.251067

